shape/id,shape/pt-lat,shape/pt-lon,shape/pt-sequence
185,52.296719,13.631534,0
185,52.297459,13.631364,1
185,52.297881,13.631365,2
185,52.298079,13.631372,3
185,52.298142,13.631360,4
185,52.298411,13.631370,5
185,52.298636,13.631378,6
185,52.298924,13.631359,7
185,52.299130,13.631367,8
185,52.299220,13.631370,9
185,52.299346,13.631360,10
185,52.299472,13.631365,11
185,52.299544,13.631353,12
185,52.299670,13.631358,13
185,52.300039,13.631342,14
185,52.301558,13.631324,15
185,52.302565,13.631303,16
185,52.302798,13.631311,17
185,52.303463,13.631307,18
185,52.304012,13.631297,19
185,52.304875,13.631300,20
185,52.307239,13.631284,21
185,52.308308,13.631323,22
185,52.310058,13.631461,23
185,52.310157,13.631479,24
185,52.310229,13.631482,25
185,52.310319,13.631485,26
185,52.310408,13.631489,27
185,52.313909,13.631823,28
185,52.314438,13.631886,29
185,52.314645,13.631923,30
185,52.314815,13.631959,31
185,52.315012,13.631995,32
185,52.315397,13.632083,33
185,52.315997,13.632252,34
185,52.316945,13.632609,35
185,52.318536,13.633225,36
185,52.319019,13.633419,37
185,52.319216,13.633499,38
185,52.319359,13.633822,39
185,52.319359,13.633822,40
185,52.320435,13.634336,41
185,52.321339,13.634648,42
185,52.321750,13.634796,43
185,52.321938,13.634861,44
185,52.322153,13.634942,45
185,52.322412,13.635040,46
185,52.322662,13.635152,47
185,52.323350,13.635456,48
185,52.323948,13.635727,49
185,52.324172,13.635824,50
185,52.324502,13.635953,51
185,52.324636,13.636017,52
185,52.325369,13.636323,53
185,52.326012,13.636596,54
185,52.326924,13.636952,55
185,52.327550,13.637195,56
185,52.327783,13.637277,57
185,52.328132,13.637393,58
185,52.328481,13.637479,59
185,52.328741,13.637547,60
185,52.328965,13.637600,61
185,52.329252,13.637640,62
185,52.329602,13.637682,63
185,52.329979,13.637710,64
185,52.330320,13.637738,65
185,52.330607,13.637734,66
185,52.330967,13.637732,67
185,52.331075,13.637722,68
185,52.331381,13.637704,69
185,52.331651,13.637670,70
185,52.331984,13.637608,71
185,52.332291,13.637546,72
185,52.332363,13.637534,73
185,52.332444,13.637523,74
185,52.332624,13.637471,75
185,52.332769,13.637432,76
185,52.333012,13.637368,77
185,52.333355,13.637248,78
185,52.333672,13.637143,79
185,52.333898,13.637048,80
185,52.334178,13.636927,81
185,52.334232,13.636899,82
185,52.334332,13.636844,83
185,52.334585,13.636722,84
185,52.334884,13.636571,85
185,52.335119,13.636433,86
185,52.335273,13.636351,87
185,52.335445,13.636254,88
185,52.336126,13.635795,89
185,52.336525,13.635546,90
185,52.337631,13.634839,91
185,52.338810,13.634090,92
185,52.340877,13.632772,93
185,52.341195,13.632564,94
185,52.342011,13.632036,95
185,52.342790,13.631566,96
185,52.344023,13.630833,97
185,52.344114,13.630763,98
185,52.345183,13.630098,99
185,52.345801,13.629666,100
185,52.347317,13.628577,101
185,52.347852,13.628171,102
185,52.348624,13.627613,103
185,52.349351,13.627012,104
185,52.349351,13.627012,105
185,52.349504,13.626889,106
185,52.349595,13.626814,107
185,52.349935,13.626534,108
185,52.350382,13.626208,109
185,52.350754,13.625950,110
185,52.351048,13.625758,111
185,52.351305,13.625592,112
185,52.352098,13.625038,113
185,52.352435,13.624826,114
